fragment_id,behavior_id
0,0
1,8
2,3
3,3
4,3
5,7
6,16
7,0
8,10
9,9
10,11
11,18
12,3
13,6
14,5
15,16
16,8
17,6
18,1
19,1
20,15
21,5
22,10
23,9
24,6
25,6
26,4
27,6
28,14
29,4
30,2
31,3
32,1
33,9
34,18
35,16
36,1
37,10
38,2
39,1
40,16
41,18
42,8
43,14
44,8
45,14
46,11
47,5
48,6
49,3
50,10
51,16
52,0
53,15
54,14
55,13
56,9
57,5
58,17
59,15
60,16
61,17
62,11
63,5
64,16
65,1
66,7
67,18
68,5
69,0
70,12
71,0
72,15
73,15
74,3
75,6
76,3
77,4
78,13
79,6
80,12
81,15
82,9
83,13
84,13
85,18
86,14
87,10
88,3
89,0
90,9
91,2
92,16
93,7
94,13
95,15
96,13
97,17
98,7
99,14
100,18
101,7
102,11
103,15
104,14
105,2
106,10
107,0
108,6
109,9
110,4
111,16
112,9
113,0
114,4
115,14
116,16
117,13
118,17
119,17
120,11
121,4
122,0
123,0
124,8
125,18
126,15
127,1
128,8
129,12
130,1
131,2
132,7
133,8
134,10
135,4
136,13
137,17
138,11
139,9
140,8
141,5
142,6
143,13
144,2
145,12
146,9
147,5
148,6
149,8
150,18
151,7
152,14
153,12
154,13
155,0
156,3
157,4
158,1
159,14
160,4
161,4
162,14
163,8
164,4
165,11
166,5
167,7
168,10
169,5
170,1
171,9
172,10
173,8
174,6
175,6
176,2
177,9
178,9
179,6
180,6
181,17
182,16
183,9
184,6
185,18
186,18
187,10
188,13
189,11
190,0
191,1
192,10
193,15
194,9
195,10
196,13
197,15
198,8
199,17
200,14
201,17
202,8
203,18
204,5
205,4
206,16
207,1
208,11
209,12
210,10
211,13
212,0
213,11
214,13
215,5
216,7
217,3
218,8
219,3
220,18
221,10
222,9
223,11
224,3
225,1
226,4
227,17
228,17
229,1
230,17
231,16
232,13
233,6
234,4
235,0
236,13
237,2
238,8
239,3
240,18
241,8
242,6
243,16
244,17
245,3
246,17
247,11
248,1
249,8
250,13
251,18
252,17
253,6
254,11
255,15
256,11
257,16
258,0
259,18
260,17
261,14
262,16
263,12
264,13
265,13
266,9
267,8
268,9
269,16
270,3
271,16
272,18
273,12
274,13
275,3
276,9
277,2
278,9
279,11
280,2
281,18
282,5
283,14
284,1
285,9
286,14
287,0
288,4
289,6
290,13
291,12
292,1
293,14
294,11
295,15
296,11
297,11
298,17
299,13
300,11
301,15
302,8
303,0
304,13
305,9
306,18
307,5
308,7
309,4
310,9
311,18
312,10
313,18
314,4
315,5
316,8
317,14
318,4
319,15
320,8
321,16
322,15
323,9
324,3
325,1
326,9
327,5
328,11
329,14
330,0
331,16
332,8
333,8
334,7
335,3
336,13
337,18
338,0
339,11
340,8
341,2
342,15
343,2
344,1
345,3
346,10
347,2
348,0
349,12
350,14
351,0
352,9
353,16
354,15
355,12
356,17
357,15
358,16
359,5
360,13
361,17
362,13
363,15
364,8
365,14
366,3
367,18
368,11
369,15
370,6
371,1
372,3
373,16
374,9
375,1
376,14
377,10
378,0
379,14
380,4
381,6
382,2
383,4
384,5
385,16
386,16
387,17
388,17
389,10
390,2
391,16
392,8
393,1
394,14
395,0
396,16
397,12
398,11
399,6
400,1
401,11
402,6
403,14
404,15
405,13
406,17
407,16
408,15
409,3
410,16
411,2
412,17
413,13
414,10
415,2
416,14
417,15
418,18
419,17
420,9
421,8
422,8
423,0
424,8
425,16
426,9
427,9
428,11
429,18
430,7
431,11
432,18
433,14
434,6
435,5
436,1
437,17
438,17
439,1
440,2
441,8
442,5
443,13
444,6
445,8
446,10
447,3
448,3
449,6
450,18
451,13
452,3
453,17
454,8
455,13
456,11
457,9
458,1
459,16
460,8
461,11
462,13
463,2
464,8
465,8
466,5
467,5
468,6
469,7
470,11
471,3
472,16
473,9
474,8
475,11
476,0
477,12
478,9
479,9
480,12
481,9
482,6
483,14
484,9
485,17
486,2
487,7
488,1
489,14
490,10
491,16
492,10
493,8
494,13
495,11
496,5
497,0
498,9
499,10
500,7
501,5
502,6
503,0
504,9
505,4
506,6
507,10
508,11
509,12
510,6
511,5
512,10
513,13
514,10
515,17
516,4
517,0
518,7
519,18
520,17
521,7
522,2
523,0
524,2
525,18
526,12
527,9
528,18
529,13
530,5
531,1
532,1
533,11
534,17
535,0
536,5
537,0
538,5
539,10
540,17
541,10
542,16
543,13
544,10
545,5
546,0
547,5
548,9
549,1
550,18
551,1
552,14
553,13
554,10
555,17
556,8
557,11
558,10
559,3
560,18
561,11
562,13
563,18
564,3
565,4
566,1
567,13
568,7
569,14
570,8
571,4
572,14
573,12
574,13
575,18
576,4
577,8
578,12
579,8
580,18
581,16
582,1
583,5
584,4
585,4
586,11
587,6
588,3
589,11
590,16
591,1
592,9
593,16
594,17
595,1
596,14
597,13
598,13
599,0
600,7
601,2
602,6
603,2
604,14
605,6
606,14
607,6
608,9
